,Beta-neutral,Beta-neutral,Beta-neutral,Beta-neutral,Unconstrained,Unconstrained,Unconstrained,Unconstrained,Unconstrained,Benchmark (EW),Benchmark (EW),Benchmark (EW),Benchmark (EW),Benchmark (EW)
,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA
date,,,,,,,,,,,,,,
2016-05-31,-0.3596849022704262,-0.8455510171920059,0.07680408351662506,2.134636097567967,0.618974193327779,-0.4837251704372099,-0.7694219357236611,0.5907926111332459,1.5617671795601549,0.2,0.2,0.2,0.2,0.2
2016-06-30,0.2775161262615658,-1.2104730498656644,-0.12842195324059769,2.1433011059656217,0.6776862589296471,-0.14851217338818692,-0.8813234637901992,0.533608502418957,1.3381671135777542,0.2,0.2,0.2,0.2,0.2
2016-07-31,0.23460108747140457,-0.4607995195491337,1.437407168396959,1.092699712598396,0.6484678099782725,-0.1448425086872846,-0.5305896500601506,1.350207267180872,0.8741134917294237,0.2,0.2,0.2,0.2,0.2
2016-08-31,0.7253699439882084,-0.5181003805469249,1.4892449300201396,0.8869050801358055,0.644882353563611,0.11358559253884225,-0.5601332412948763,1.369254639328054,0.7761018936725254,0.2,0.2,0.2,0.2,0.2
2016-09-30,0.7600654857923366,-0.4344942018456095,1.5115609934513647,0.8599186938123414,0.6507607580353163,0.11517082183545002,-0.499704389182364,1.3385224192217744,0.7418365907979927,0.2,0.2,0.2,0.2,0.2
2016-10-31,0.6854185790485938,-0.5066045373929821,1.4941261895069167,0.8427013992309766,0.5386636481374948,0.2490015013405565,-0.5894410990987372,1.495332910437673,0.8450410441505295,0.2,0.2,0.2,0.2,0.2
2016-11-30,0.0655506590383977,0.45497167220059576,1.814229918255496,0.006536234813047771,0.4615527109098092,-0.15803920531958413,0.17520101385367326,1.8203045913099305,0.21000867291272557,0.2,0.2,0.2,0.2,0.2
2016-12-31,0.7740222891214636,-0.457747048117458,1.4040374007014467,0.9885889950581714,0.4603483232719344,0.41364259725168684,-0.5503015410927197,1.496061977926562,0.9976637389505141,0.2,0.2,0.2,0.2,0.2
2017-01-31,0.7705703894334732,-0.25556663811356545,1.6533415337977582,0.5070615983896013,0.3160996514253262,0.5616328107253342,-0.36009670504381125,1.7629031938784192,0.6037556210713206,0.2,0.2,0.2,0.2,0.2
2017-02-28,0.6824210395497153,-0.17944059318867225,1.74858007951791,0.30664926548427457,0.3792712581977357,0.4260978112230443,-0.30736529567766496,1.8300787242000842,0.43878681681095355,0.2,0.2,0.2,0.2,0.2
2017-03-31,0.6313447986930004,-0.09327306703861533,1.817359254287993,0.1053219857579173,0.5253015481337131,0.23212154419509545,-0.282251153394684,1.757763298865629,0.3416105414521595,0.2,0.2,0.2,0.2,0.2
2017-04-30,0.6892783324007773,0.14024298907486768,1.7842290652845716,-1.0864388006611794,0.5331518425877018,0.263842911676337,-0.11609831763174343,1.7226493016154147,-0.5123099833906986,0.2,0.2,0.2,0.2,0.2
2017-05-31,0.45586560066053045,-0.09786541374417324,1.8212694814984103,0.11373786120123959,0.5772558920040153,0.04116782945523766,-0.3088556858249295,1.6826853467794072,0.39798769291406205,0.2,0.2,0.2,0.2,0.2
2017-06-30,-0.4183437166585223,-0.5377350010361936,0.8953624159191501,1.1074449729227274,0.6964019234745196,-0.4882751109351936,-0.5196804846409981,0.969200701087432,0.8620323535573248,0.2,0.2,0.2,0.2,0.2
2017-07-31,-0.10639779930706289,-0.1566861203936113,1.5486357408334404,0.43932577973347414,0.6583933424134696,-0.34330890779620105,-0.3478931330089429,1.3382774362541827,0.5846549901552689,0.2,0.2,0.2,0.2,0.2
2017-08-31,0.20034104672795713,-0.17332084292468364,1.6864870126903038,0.43729577972047184,0.6644464334521535,-0.17919532528459048,-0.35256842199082195,1.4050284116510376,0.5823591589723095,0.2,0.2,0.2,0.2,0.2
2017-09-30,0.6870124800404194,0.1829394753519769,0.7619362209240202,-2.0626277436796143,0.5563009065054758,0.2411238252359036,-0.09313414654309254,0.9863282842973372,-1.1327683384041354,0.2,0.2,0.2,0.2,0.2
2017-10-31,0.8143641103605664,-0.22277648882593368,1.658004772462232,0.41006273373288216,0.510147096761493,0.39682461978791456,-0.36663501042243163,1.6585983734425818,0.57214425329639,0.2,0.2,0.2,0.2,0.2
2017-11-30,0.812645001778584,-0.04977324905952059,1.7726269866990827,0.02977413443176229,0.4530549907434834,0.4692692889191522,-0.2255874952172354,1.7977767540345564,0.2737820529870686,0.2,0.2,0.2,0.2,0.2
2017-12-31,0.6567412417022445,0.44894608327585134,1.6264994366955514,-1.5423084693258116,0.34979733031655985,0.44040754169895724,0.2522518062704984,1.7078316133536564,-1.1737612949819494,0.2,0.2,0.2,0.2,0.2
2018-01-31,0.8033600980198681,-0.08221246226185563,1.7151284592912153,0.21154883149423015,0.5112373548220454,0.39063523478831785,-0.2763488091423467,1.6589636278878592,0.4458712342449689,0.2,0.2,0.2,0.2,0.2
2018-02-28,0.7551257491217616,-0.0877528056640444,1.7494199389735772,0.06833206030988109,0.5659190018812158,0.3061293851502915,-0.31747833995069324,1.6019988840652803,0.36198342464189376,0.2,0.2,0.2,0.2,0.2
2018-03-31,0.8357174211126122,-0.2497599726946151,1.6436142302141614,0.15970423987776,0.4944527926110655,0.46256637991540367,-0.4127867465171201,1.6203644534969905,0.3746019114129092,0.2,0.2,0.2,0.2,0.2
2018-04-30,0.8658175834670054,-0.129771840289183,1.684159034835113,0.014906997205167256,0.4636399045388832,0.5336288409427741,-0.3158418681081876,1.6761623022255565,0.24880986029900332,0.2,0.2,0.2,0.2,0.2
2018-05-31,0.8860076350660886,-0.20950522434661967,1.5710284981681577,0.3503742367876655,0.5095452373395741,0.4901921593297057,-0.3840150288737931,1.548250604355148,0.4986089574952517,0.2,0.2,0.2,0.2,0.2
2018-06-30,0.949901857051295,-0.017316057369141224,1.6233853205766837,0.056521613503823814,0.4605941123222586,0.6100139518700805,-0.2233059455846476,1.6372056445412444,0.2596120559534762,0.2,0.2,0.2,0.2,0.2
2018-07-31,0.9749573702270926,-0.7539141832666469,1.1140631903847047,0.7934285503546725,0.5678772124369169,0.45515130622683087,-0.7669466448426563,1.1161675203795691,0.8184404043251395,0.2,0.2,0.2,0.2,0.2
2018-08-31,0.8492782844982605,-0.6251457529691838,1.3899700144534146,0.6958589059484914,0.6766382168889409,0.16993296973375718,-0.6427735065964478,1.110604478341946,0.6902178271263584,0.2,0.2,0.2,0.2,0.2
2018-09-30,0.976956705119915,-0.9220049708349348,0.8733703574521499,0.7259333102151079,0.5858147317632741,0.42158500759110545,-0.8905023542498575,0.9399848532277207,0.7884270374905227,0.2,0.2,0.2,0.2,0.2
2018-10-31,0.8617252586921131,-0.8391606562972125,1.15186844344733,0.6949065689193176,0.7264818750199781,0.10768658830992367,-0.7966137826573989,0.8704280291259849,0.7058634854524269,0.2,0.2,0.2,0.2,0.2
2018-11-30,0.639873634017441,-0.7820687770482181,1.3177117527425566,0.726804871362692,0.8130381696053052,-0.122139307449441,-0.674744833650054,0.7468941030051917,0.6506864463874409,0.2,0.2,0.2,0.2,0.2
2018-12-31,0.007764037612499955,-0.9226293616465316,1.016129693697941,1.293448700612362,0.8365392676984372,-0.3274543187439476,-0.6280823880251984,0.5548991387069048,0.690792871024631,0.2,0.2,0.2,0.2,0.2
2019-01-31,0.736710940110907,-0.9706981469363707,1.0625484252492436,1.2483231066965534,0.7894129553072667,-0.10877420334900738,-0.7502601685072285,0.6300418689692174,0.849379994391266,0.2,0.2,0.2,0.2,0.2
2019-02-28,0.9680583411256318,-0.606447874296492,1.415066452832778,0.8017531623215511,0.7987888157901578,-0.0993883285739446,-0.5569343444584121,0.7014382087563446,0.6600573812080003,0.2,0.2,0.2,0.2,0.2
2019-03-31,0.9636458261951343,-0.9316710857412618,1.0883572010733473,0.9885794629026932,0.8097850569223719,-0.0899537507486622,-0.577978813769905,0.6536168857293918,0.6725823474170851,0.2,0.2,0.2,0.2,0.2
2019-04-30,0.7048294557207125,-1.3258135705468632,0.7998262123792262,1.5003220786546592,0.7406579819331229,-2.459849641706802e-05,-0.8715398635987233,0.6772969383204248,1.009667073603175,0.2,0.2,0.2,0.2,0.2
2019-05-31,0.7000703344217395,-0.8612622918810409,1.5008905972775974,0.8977906608608492,0.8205594120757269,-0.12896705784934373,-0.4656696264776207,0.8050562758379516,0.5482990585234703,0.2,0.2,0.2,0.2,0.2
